,IGN,Name,Team,Role,Country,Age
319,IceBreaker,Dimitris Chatzitsobanis (Δημήτρης Χατζητσομπάνης),Dawn of Stars,Top,Greece,20.0
320,iHansen,Bjørn-Vegar Hansen,Penguins,Coach,Norway,23.0
321,Iluzjonist,Ireneusz Opaliński,Katastrofa Awionetki,Support,Poland,20.0
322,Imba,Gorka Perdroche Martínez,Movistar Academy,Top,Spain,
323,Immortal,Alexandros Diamantopoulos (Αλέξανδρος Διαμαντόπουλος),Outlawz,Support,Greece,21.0
324,Inceneratus,Pedro Rodrigues,K1CK eSports Club,Jungler,Portugal,
325,InKos,Kevin Alpire,x6tence,Jungler,Bolivia,22.0
326,Innaxe,Nihat Dzhelal Aliev,Unicorns Of Love,Bot,Bulgaria,20.0
327,InnerFlame,Joe Elouassi,Misfits Gaming,Manager,United Kingdom,25.0
328,Inspired,Kacper Słoma,Rogue,Jungler,Poland,17.0
329,Ioni,Maximilien Lambert,Brussels Guardians,Support,Belgium,
330,iPaw,Lukas Schober,Black Lion,Jungler,Germany,
331,Isdemacia,Ismael de Moya Espín,Stormbringers,Top,Spain,
332,Istari,Ugo Simon-Meslet,Team Vitality,Mid,France,
333,itzRenifer,Konrad Potępa,Wisła Płock,Bot,Poland,24.0
334,iWa,Cléante Oullion,Team Oplon,Bot,France,
335,Izoyu,Sven Paul,S1.Academy,Jungler,Netherlands,18.0
336,J0J0C,Nikos Terzogloy (Νίκος Τερζόγλου),Greek Regenesis,Streamer,Greece,20.0
337,Jactroll,Jakub Skurzyński,Team Vitality,Support,Poland,20.0
338,Jakamaka,Jake Sampson-Roberts,Barrage Esports,Bot,United Kingdom,25.0
339,Jakobobbi,Jakob Waich,Alpaka Esports,Jungler,Austria,19.0
340,Jandro,Alejandro Fernández-Valdés,Fnatic Rising,Coach,Spain,
341,Janij,Jani Lampinen,Placeholder123,Top,Finland,25.0
342,Jankos,Marcin Jankowski,G2 Esports,Jungler,Poland,23.0
343,Javaaa,Javier Martínez,Movistar Riders,Bot,Spain,
344,Javier,Javier Carmona,Giants Academy,Mid,Spain,
345,JazzC,Hagai Wolf,Hell Gaming,Support,Israel,24.0
346,Jejky,David Jakubec,eSuba,Jungler,Czech Republic,20.0
347,Jekyll,Jan Mičuda,Escape Gaming,Support,Czech Republic,
348,Jellou,Jiří Linhart,eXtatus,Jungler,Czech Republic,
349,Jenax,Janik Bartels,SK Gaming Prime,Mid,Germany,20.0
350,Jensen,Nicolaj Jensen,Team Liquid,Mid,Denmark,24.0
351,JeppeHou,Jeppe Hougaard,Fact Revolution,Support,Denmark,19.0
352,Jesiz,Jesse Le,Misfits Gaming,Coach,Denmark,22.0
353,Jeskla,Jesper Klarin Strömberg,Excel Esports,Bot,Sweden,18.0
354,Jester,David Ta,Team MCES,Mid,France,20.0
355,Jigly,Sander Schipper,Defusekids,Coach,Netherlands,22.0
356,Jiizuke,Daniele di Mauro,Team Vitality,Mid,Italy,23.0
357,Jimbo,Jimi Spiridovitsh,ISO eSports,Jungler,Finland,18.0
358,Jimsnop,Dimitris Dimitropoulos (Δημήτρης Δημητρόπουλος),Outlawz,Mid,Greece,
359,Jinsh,"Chen ""Gilles"" Xiao-Zhou",Tickling Tentacles,Mid,Luxembourg,
360,Jkalam,Andrew Lanooij,Team Animals,Bot,Netherlands,22.0
361,joaos92,João Soares,Why eSports,Mid,Portugal,
362,Joekie,Michael Gielisse,Defusekids,Jungler,Netherlands,20.0
363,Johnny,Jonne Janhunen,ISO eSports,Jungler,Finland,18.0
364,Jukestar,Hristo Stanchev,Split Raiders,Top,Bulgaria,
365,Juvenis,Sebastian Winowski,Katastrofa Awionetki,Manager,Poland,
