,IGN,Name,Team,Role,Country,Age
303,Whitehorse,Kim Shi-joon (김시준),Winners,Mid,South Korea,
304,wind,Oh Myeong-jin (오명진),bbq Olivers,Bot,South Korea,20.0
305,Wiz,Na Yoo-joon (나유준),1907 Fenerbahçe,Jungler,South Korea,21.0
306,Wizer,Choi Ui-seok (최의석),KaBuM! e-Sports,Top,South Korea,20.0
307,Wolf,Lee Jae-wan (이재완),SuperMassive,Support,South Korea,22.0
308,Wyvern,Lee Jong-gyun (이종균),Rascal Jester,Jungler,South Korea,21.0
309,Yeon,Yang Gwang-pyo (양광표),Afreeca Freecs,Coach,South Korea,25.0
310,Yoon,Kim Byung-yoon (김병윤),G-Rex,Support,South Korea,22.0
311,ZanDarC,Oh Chang-jong (오창종),KT Rolster,Coach,South Korea,35.0
312,Zefa,Lee Jae-min (이재민),SK Telecom T1,Coach,South Korea,31.0
313,Zenit,Jeon Tae-gwon (전태권),KT Rolster,Bot,South Korea,19.0
314,ZergMaN,Park Seong-joon (박성준),Brion Blade,Coach,South Korea,34.0
